Kept_idx,Orig_idx,Row,Col,Score
339,395,12,11,0.36353904
116,144,4,16,0.3609229
439,523,16,11,0.35845137
465,549,17,5,0.35737023
98,112,3,16,0.35691237
76,76,2,12,0.35579315
65,65,2,1,0.35486895
66,66,2,2,0.3539654
52,52,1,20,0.35307494
337,393,12,9,0.35088634
424,508,15,28,0.35058504
183,225,7,1,0.3502598
81,81,2,17,0.34931344
251,307,9,19,0.34828275
57,57,1,25,0.34762964
40,40,1,8,0.3473105
431,515,16,3,0.3459221
457,541,16,29,0.34430203
91,91,2,27,0.3442418
275,331,10,11,0.34386125
495,604,18,28,0.34223366
458,542,16,30,0.34103718
166,208,6,16,0.34022743
454,538,16,26,0.33789706
490,574,17,30,0.3375752
33,33,1,1,0.33674294
334,390,12,6,0.3364238
134,176,5,16,0.3353829
151,193,6,1,0.33509865
422,506,15,26,0.33457637
375,445,13,29,0.3321438
421,505,15,25,0.33205095
407,491,15,11,0.3307031
432,516,16,4,0.32987168
47,47,1,15,0.32808393
271,327,10,7,0.32770017
191,233,7,9,0.3270375
469,553,17,9,0.32636812
261,317,9,29,0.3229061
30,30,0,30,0.32272506
430,514,16,2,0.32251373
25,25,0,25,0.3216842
156,198,6,6,0.3215994
80,80,2,16,0.32133123
48,48,1,16,0.32115865
428,512,16,0,0.3203249
491,575,17,31,0.32026818
67,67,2,3,0.3200185
297,353,11,1,0.3199716
303,359,11,7,0.31961772
219,261,8,5,0.31790015
222,264,8,8,0.31788722
300,356,11,4,0.31761274
467,551,17,7,0.3152596
393,477,14,29,0.3151501
462,546,17,2,0.31392473
325,381,11,29,0.31336138
494,603,18,27,0.3130551
399,483,15,3,0.31280148
39,39,1,7,0.3108356
328,384,12,0,0.30979654
62,62,1,30,0.30954772
456,540,16,28,0.30949152
403,487,15,7,0.3092904
546,1019,31,27,0.30754825
514,763,23,27,0.30741626
543,988,30,28,0.3072678
157,199,6,7,0.3053175
463,547,17,3,0.30518848
440,524,16,12,0.30297032
72,72,2,8,0.30253464
433,517,16,5,0.30225202
267,323,10,3,0.30162513
95,95,2,31,0.30118582
402,486,15,6,0.30043977
150,192,6,0,0.29991993
395,479,14,31,0.29957268
74,74,2,10,0.29945967
470,554,17,10,0.29939383
329,385,12,1,0.2984016
510,731,22,27,0.296125
459,543,16,31,0.29392603
58,58,1,26,0.2919341
472,556,17,12,0.29151002
192,234,7,10,0.2913891
224,266,8,10,0.28954574
394,478,14,30,0.28914988
186,228,7,4,0.2883063
159,201,6,9,0.28601855
162,204,6,12,0.2858164
389,473,14,25,0.28576544
522,827,25,27,0.2842053
182,224,7,0,0.28386787
464,548,17,4,0.28370482
8,8,0,8,0.28266692
401,485,15,5,0.28199965
264,320,10,0,0.28050452
70,70,2,6,0.2784425
531,892,27,28,0.27662283
405,489,15,9,0.27503788
404,488,15,8,0.27379006
429,513,16,1,0.2737732
511,732,22,28,0.27374557
265,321,10,1,0.2735706
160,202,6,10,0.27271092
68,68,2,4,0.27181953
373,443,13,27,0.2714818
2,2,0,2,0.2705338
34,34,1,2,0.2704016
397,481,15,1,0.2693832
304,360,11,8,0.26883954
270,326,10,6,0.26864412
518,795,24,27,0.26829475
535,924,28,28,0.26824883
189,231,7,7,0.26719156
408,492,15,12,0.26498756
437,521,16,9,0.26437917
305,361,11,9,0.26344025
63,63,1,31,0.26320025
35,35,1,3,0.26267442
42,42,1,10,0.2624837
547,1020,31,28,0.26177073
455,539,16,27,0.26080608
302,358,11,6,0.2607668
268,324,10,4,0.26000863
193,235,7,11,0.25869682
332,388,12,4,0.2570441
441,525,16,13,0.25697824
154,196,6,4,0.25616848
374,444,13,28,0.25605407
272,328,10,8,0.25448135
434,518,16,6,0.25257754
